Référence;"Code article";"Couleur (FR)";"Couleur (US)";Taille;"Famille (FR)";"Famille (US)";Marque;"Genre (FR)";"Genre (US)";EAN;QTÉ;"Descriptif (FR)";"Descriptif (US)";"Composition (FR)";Pays;"Code Douane";RRP;PVM;"Prix HT";"Prix HT (5+)";"Prix HT (10+)";"Prix HT DST"
"ABEILLE LADY NAVY DB 001";WW1895F/GN;Marine;Navy;S/1;Parka;Parka;"Geographical Norway";Femme;Lady;3543116149708;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE LADY NAVY DB 001";WW1895F/GN;Marine;Navy;M/2;Parka;Parka;"Geographical Norway";Femme;Lady;3543116149715;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE LADY NAVY DB 001";WW1895F/GN;Marine;Navy;L/3;Parka;Parka;"Geographical Norway";Femme;Lady;3543116149722;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE LADY NAVY DB 001";WW1895F/GN;Marine;Navy;XL/4;Parka;Parka;"Geographical Norway";Femme;Lady;3543116149739;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE LADY NAVY DB 001";WW1895F/GN;Marine;Navy;2XL/5;Parka;Parka;"Geographical Norway";Femme;Lady;3543116149746;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ALAREAK BLACK BS RM LADY 096";RBMWW2410F/CP;Noir;Black;S/1;Blouson;Jacket;"Canadian Peak";Femme;Lady;3664138364785;2;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyamide";CHINE;62014010;159;0;30,00;27,50;25,00;NC
"ALAREAK BLACK BS RM LADY 096";RBMWW2410F/CP;Noir;Black;M/2;Blouson;Jacket;"Canadian Peak";Femme;Lady;3664138364792;3;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyamide";CHINE;62014010;159;0;30,00;27,50;25,00;NC
"ALAREAK BLACK BS RM LADY 096";RBMWW2410F/CP;Noir;Black;L/3;Blouson;Jacket;"Canadian Peak";Femme;Lady;3664138364808;3;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyamide";CHINE;62014010;159;0;30,00;27,50;25,00;NC
"ALAREAK BLACK BS RM LADY 096";RBMWW2410F/CP;Noir;Black;XL/4;Blouson;Jacket;"Canadian Peak";Femme;Lady;3664138364815;2;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyamide";CHINE;62014010;159;0;30,00;27,50;25,00;NC
"ALAREAK BLACK BS RM LADY 096";RBMWW2410F/CP;Noir;Black;2XL/5;Blouson;Jacket;"Canadian Peak";Femme;Lady;3664138364822;2;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyamide";CHINE;62014010;159;0;30,00;27,50;25,00;NC
"ALAREAK DARK GREY RM MEN 096";RBMWY4134H/CP;"Gris foncé";"Dark Grey";S;Blouson;Jacket;"Canadian Peak";Homme;Men;3664138488634;1;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyester";CHINE;62014090;159;0;30,00;27,50;25,00;NC
"ALAREAK DARK GREY RM MEN 096";RBMWY4134H/CP;"Gris foncé";"Dark Grey";M;Blouson;Jacket;"Canadian Peak";Homme;Men;3664138488641;2;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyester";CHINE;62014090;159;0;30,00;27,50;25,00;NC
"ALAREAK DARK GREY RM MEN 096";RBMWY4134H/CP;"Gris foncé";"Dark Grey";L;Blouson;Jacket;"Canadian Peak";Homme;Men;3664138488658;3;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyester";CHINE;62014090;159;0;30,00;27,50;25,00;NC
"ALAREAK DARK GREY RM MEN 096";RBMWY4134H/CP;"Gris foncé";"Dark Grey";XL;Blouson;Jacket;"Canadian Peak";Homme;Men;3664138488665;3;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyester";CHINE;62014090;159;0;30,00;27,50;25,00;NC
"ALAREAK DARK GREY RM MEN 096";RBMWY4134H/CP;"Gris foncé";"Dark Grey";2XL;Blouson;Jacket;"Canadian Peak";Homme;Men;3664138488672;2;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyester";CHINE;62014090;159;0;30,00;27,50;25,00;NC
"ALAREAK DARK GREY RM MEN 096";RBMWY4134H/CP;"Gris foncé";"Dark Grey";3XL;Blouson;Jacket;"Canadian Peak";Homme;Men;3664138488689;1;"PARKA HOMME LÉGÈRE MATELASSÉE. DEUX POCHES A ZIP INJECTÉ SUR LA POITRINE ET DEUX POCHES SUR LES COTÉS.";"LIGHTWEIGHT QUILTED MEN?S PARKA. TWO ZIP POCKETS INJECTED ON CHEST AND TWO POCKETS ON SIDES.";"100% Polyester";CHINE;62014090;159;0;30,00;27,50;25,00;NC
"BOAT BURGUNDY DB MEN 044";SZ1033H/GN;Bordeaux;Burgundy;S;"Spring Jacket";"Spring Jacket";"Geographical Norway";Homme;Men;3543116662061;1;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men's jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62014010;49;0;10,50;9,50;8,50;NC
"BOAT BURGUNDY DB MEN 044";SZ1033H/GN;Bordeaux;Burgundy;M;"Spring Jacket";"Spring Jacket";"Geographical Norway";Homme;Men;3543116662078;2;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men's jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62014010;49;0;10,50;9,50;8,50;NC
"BOAT BURGUNDY DB MEN 044";SZ1033H/GN;Bordeaux;Burgundy;L;"Spring Jacket";"Spring Jacket";"Geographical Norway";Homme;Men;3543116662085;3;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men's jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62014010;49;0;10,50;9,50;8,50;NC
"BOAT BURGUNDY DB MEN 044";SZ1033H/GN;Bordeaux;Burgundy;XL;"Spring Jacket";"Spring Jacket";"Geographical Norway";Homme;Men;3543116662092;3;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men's jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62014010;49;0;10,50;9,50;8,50;NC
"BOAT BURGUNDY DB MEN 044";SZ1033H/GN;Bordeaux;Burgundy;2XL;"Spring Jacket";"Spring Jacket";"Geographical Norway";Homme;Men;3543116662108;2;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men's jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62014010;49;0;10,50;9,50;8,50;NC
"BOAT BURGUNDY DB MEN 044";SZ1033H/GN;Bordeaux;Burgundy;3XL;"Spring Jacket";"Spring Jacket";"Geographical Norway";Homme;Men;3543116662115;1;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men's jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62014010;49;0;10,50;9,50;8,50;NC
"BOAT SKY BLUE DB LADY 044";SZ1009F/GN;"Bleu ciel";"Sky blue";S/1;"Spring Jacket";"Spring Jacket";"Geographical Norway";Femme;Lady;3543116660944;2;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62024010;49;0;10,50;9,50;8,50;NC
"BOAT SKY BLUE DB LADY 044";SZ1009F/GN;"Bleu ciel";"Sky blue";M/2;"Spring Jacket";"Spring Jacket";"Geographical Norway";Femme;Lady;3543116660951;3;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62024010;49;0;10,50;9,50;8,50;NC
"BOAT SKY BLUE DB LADY 044";SZ1009F/GN;"Bleu ciel";"Sky blue";L/3;"Spring Jacket";"Spring Jacket";"Geographical Norway";Femme;Lady;3543116660968;3;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62024010;49;0;10,50;9,50;8,50;NC
"BOAT SKY BLUE DB LADY 044";SZ1009F/GN;"Bleu ciel";"Sky blue";XL/4;"Spring Jacket";"Spring Jacket";"Geographical Norway";Femme;Lady;3543116660975;2;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62024010;49;0;10,50;9,50;8,50;NC
"BOAT SKY BLUE DB LADY 044";SZ1009F/GN;"Bleu ciel";"Sky blue";2XL/5;"Spring Jacket";"Spring Jacket";"Geographical Norway";Femme;Lady;3543116660982;2;"Découvrez la veste ""Boat"" de Geographical Norway pour homme, une pièce à la fois fonctionnelle et tendance. Son coupe-vent passe-tête, sa capuche fixe avec doublure en mesh, ses impressions sur la poitrine et sur la manche, ainsi que ses deux poches sur le devant ajoutent une touche de style et de praticité à cette veste.";"Discover Geographical Norway's ""Boat"" men jacket, a piece that's both functional and stylish. Its windbreaker, fixed hood with mesh lining, chest and sleeve prints, and two front pockets add a touch of style and practicality to this jacket.";"100% Polyester";CHINE;62024010;49;0;10,50;9,50;8,50;NC
"ABEILLE BROWN DB LADY 001";WY4458F/GN;Marron;Brown;S/1;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554137;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE BROWN DB LADY 001";WY4458F/GN;Marron;Brown;M/2;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554144;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE BROWN DB LADY 001";WY4458F/GN;Marron;Brown;L/3;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554151;3;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE BROWN DB LADY 001";WY4458F/GN;Marron;Brown;XL/4;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554168;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
"ABEILLE BROWN DB LADY 001";WY4458F/GN;Marron;Brown;2XL/5;Parka;Parka;"Geographical Norway";Femme;Lady;3543116554175;2;"DOUDOUNE LONGUE AVEC CAPUCHE AMOVIBLE ET FOURRURE SYNTHETIQUE. POCHES ZIPPEES SUR DEVANT. BRODERIE SUR POITRINE ET CAPUCHE. BADGE METALLIQUE SUR MANCHE.";"LONG DOWN JACKET WITH REMOVABLE HOOD AND FAKE FUR. 2 ZIPPED POCKETS AT FRONT. CHEST AND HOOD EMBROIDERED. METALLIC BADGE ON SLEEVE";"100% Polyamide";CHINE;62024090;179;99.9;39,00;36,00;33,00;NC
